,Country,Commute
0,Israel,97
1,United Arab Emirates,96
2,India,91
3,Hong Kong,90
4,Kenya,88
5,Singapore,88
6,Pakistan,86
7,Philippines,86
8,Egypt,84
9,South Africa,84
10,Malaysia,81
11,Australia,80
12,Belgium,80
13,United States,79
14,Bahrain,78
15,Brazil,77
16,Ireland,77
17,Saudi Arabia,76
18,"Korea, South",74
19,United Kingdom,73
20,Turkey,73
21,Peru,71
22,Sweden,71
23,Colombia,70
24,Austria,70
25,Canada,69
26,Switzerland,69
28,Greece,66
29,Mexico,65
30,Ecuador,64
31,France,64
32,Norway,64
33,Indonesia,63
34,Portugal,62
35,Venezuela,62
36,Algeria,62
37,Thailand,62
38,Argentina,61
39,Russia,61
40,Netherlands,61
41,Germany,60
42,Ukraine,59
43,Chile,58
44,China,57
45,Denmark,57
46,Morocco,57
47,Poland,57
48,Italy,55
49,Spain,51
50,"China, Taiwan",50
51,Vietnam,44
52,Japan,39
